school_type, school_no, school_status, longitude, latitude
"Primary",3889,"O",144.997,-37.7554
"Primary",3890,"O",144.875,-37.7949
"Primary",3892,"O",145.409,-37.7696
"Primary",3897,"O",145.015,-37.9047
"Primary",3899,"O",145.038,-37.9853
"Primary",3907,"O",145.704,-36.3848
"Primary",3916,"O",144.71,-36.1654
"Pri/Sec",3920,"O",149.153,-37.5697
"Primary",3923,"O",144.823,-37.8677
"Primary",3924,"O",145.301,-38.1623
"Primary",3926,"O",145.314,-37.8956
"Primary",3931,"O",145.907,-37.234
"Primary",3933,"O",145.172,-38.3399
"Primary",3936,"O",144.802,-36.5899
"Primary",3937,"O",144.988,-36.4481
"Primary",3939,"O",145.198,-37.6362
"Primary",3941,"O",144.948,-37.7472
"Primary",3942,"O",144.988,-37.8815
"Primary",3943,"O",145.103,-37.8131
"Primary",3944,"O",145.24,-36.5432
"Primary",3947,"O",145.27,-37.5475
"Primary",3956,"O",145.587,-37.7602
"Primary",3960,"O",145.007,-37.7114
"Primary",3967,"O",146.362,-38.1632
"Primary",3968,"O",148.051,-37.8525
"Primary",3971,"O",144.974,-36.3981
"Primary",3976,"O",142.057,-35.7685
"Primary",3982,"O",145.651,-37.8203
"Primary",3983,"O",142.152,-34.1796
"Primary",3987,"O",144.934,-37.7634
"Primary",3988,"O",144.875,-37.8126
"Primary",3993,"O",145.37,-37.8853
"Primary",4015,"O",144.903,-37.7415
"Primary",4025,"O",144.911,-37.7807
"Primary",4041,"O",144.5,-35.9888
"Primary",4055,"O",145.084,-37.8479
"Primary",4057,"O",142.185,-34.3116
"Primary",4060,"O",145.182,-37.6681
"Primary",4062,"O",145.253,-38.0305
"Primary",4064,"O",143.58,-38.3364
"Primary",4087,"O",145.005,-37.8747
"Primary",4098,"O",146.008,-37.8951
"Primary",4112,"O",145.122,-37.7177
"Primary",4117,"O",144.176,-38.2414
"Primary",4120,"O",145.231,-37.7931
"Primary",4123,"O",142.214,-34.3051
"Primary",4139,"O",145.056,-37.8724
"Primary",4143,"O",145.296,-37.8288
"Primary",4158,"O",144.936,-37.7161
"Pri/Sec",4159,"O",144.726,-37.8936
"Primary",4160,"O",144.883,-37.7878
"Primary",4169,"O",147.114,-38.0257
"Primary",4170,"O",145.063,-37.8479
"Primary",4171,"O",145.083,-37.9927
"Primary",4176,"O",145.078,-37.9058
"Primary",4177,"O",145.006,-37.7765
"Primary",4183,"O",145.045,-37.8395
"Primary",4193,"O",145.1,-38.0203
"Primary",4212,"O",145.151,-37.7001
"Primary",4215,"O",142.456,-38.378
"Primary",4217,"O",145.2,-37.9807
